States,Years,Quarters,District,Transaction_count,Transaction_amount
Andaman & nicobar islands,2021,2,nicobars district,15307,48020606.74716837
Andaman & nicobar islands,2021,3,north and middle andaman district,46592,118254865.8275068
Andaman & nicobar islands,2021,3,south andaman district,382418,1116789010.645961
Andaman & nicobar islands,2021,3,nicobars district,20754,74980519.3281361
Andaman & nicobar islands,2021,4,north and middle andaman district,53115,156486112.2873243
Andaman & nicobar islands,2021,4,south andaman district,558571,1694794708.0093331
Andaman & nicobar islands,2021,4,nicobars district,24437,81329281.02699961
Andaman & nicobar islands,2022,1,north and middle andaman district,60059,161624878.52274162
Andaman & nicobar islands,2022,1,south andaman district,705512,1872991195.9026842
Andaman & nicobar islands,2022,1,nicobars district,29177,94414127.64974089
Andaman & nicobar islands,2022,2,north and middle andaman district,72573,195693167.78757262
Andaman & nicobar islands,2022,2,south andaman district,954875,2357326563.362071
Andaman & nicobar islands,2022,2,nicobars district,43769,132900618.93062322
Andaman & nicobar islands,2022,3,north and middle andaman district,79574,211581970.34202647
Andaman & nicobar islands,2022,3,south andaman district,1455255,2967719400.849909
Andaman & nicobar islands,2022,3,nicobars district,49550,131330400.94545081
Andaman & nicobar islands,2022,4,north and middle andaman district,93297,241431284.3558103
Andaman & nicobar islands,2022,4,south andaman district,1835592,3600887266.099448
Andaman & nicobar islands,2022,4,nicobars district,58646,142355853.9735252
Andaman & nicobar islands,2023,1,north and middle andaman district,152187,392080332.0
Andaman & nicobar islands,2023,1,south andaman district,2030078,3867385426.0
Andaman & nicobar islands,2023,1,nicobars district,94127,202062829.0
Andaman & nicobar islands,2023,2,north and middle andaman district,181149,462414674.99999994
Andaman & nicobar islands,2023,2,south andaman district,2417058,4297737197.0
Andaman & nicobar islands,2023,2,nicobars district,109568,230192364.0
Andaman & nicobar islands,2023,3,north and middle andaman district,198547,495623029.99999994
Andaman & nicobar islands,2023,3,south andaman district,2771397,4462201588.0
Andaman & nicobar islands,2023,3,nicobars district,128432,253772173.0
Andaman & nicobar islands,2023,4,north and middle andaman district,230234,540759631.0
Andaman & nicobar islands,2023,4,south andaman district,3311962,5417264997.0
Andaman & nicobar islands,2023,4,nicobars district,153587,311527871.0
Andhra pradesh,2018,1,east godavari district,943935,1235785515.599726
Andhra pradesh,2018,1,srikakulam district,458921,587778028.9183557
Andhra pradesh,2018,1,spsr nellore district,531612,676643237.8069417
Andhra pradesh,2018,1,vizianagaram district,420990,505783445.78161997
Andhra pradesh,2018,1,visakhapatnam district,1256469,1749966196.5049942
Andhra pradesh,2018,1,prakasam district,534757,748990775.8676485
Andhra pradesh,2018,1,anantapur district,638664,788830646.0324218
Andhra pradesh,2018,1,ysr district,487333,681481931.0936775
Andhra pradesh,2018,1,west godavari district,577090,853547668.7532667
Andhra pradesh,2018,1,kurnool district,679623,764905298.7350456
Andhra pradesh,2018,1,chittoor district,830324,1009621878.0870509
Andhra pradesh,2018,1,guntur district,815932,1108686589.026682
Andhra pradesh,2018,1,krishna district,863935,1284255179.6156201
Andhra pradesh,2018,2,east godavari district,1221677,2168914928.423901
Andhra pradesh,2018,2,srikakulam district,559868,929392017.3670052
Andhra pradesh,2018,2,spsr nellore district,780454,1542057934.010896
Andhra pradesh,2018,2,vizianagaram district,529588,811711367.5080049
Andhra pradesh,2018,2,visakhapatnam district,1641192,2987853607.2939086
Andhra pradesh,2018,2,prakasam district,739991,1571167562.1276271
Andhra pradesh,2018,2,anantapur district,937023,1690366079.055792
Andhra pradesh,2018,2,ysr district,690842,1415500367.686184
Andhra pradesh,2018,2,west godavari district,786033,1688025212.304594
Andhra pradesh,2018,2,kurnool district,968439,1531888665.684323
Andhra pradesh,2018,2,chittoor district,1185723,1990419125.893711
Andhra pradesh,2018,2,guntur district,1088101,2108475811.785996
Andhra pradesh,2018,2,krishna district,1224987,2448141593.4919834
Andhra pradesh,2018,3,east godavari district,3226907,3551247095.3074474
Andhra pradesh,2018,3,srikakulam district,1073883,1318322236.598471
Andhra pradesh,2018,3,spsr nellore district,1308890,2215938596.1851077
Andhra pradesh,2018,3,vizianagaram district,970132,1163546006.895916
Andhra pradesh,2018,3,visakhapatnam district,3394576,4821892253.393524
Andhra pradesh,2018,3,prakasam district,1319651,2346453445.483843
Andhra pradesh,2018,3,anantapur district,1815215,2681787750.4641647
Andhra pradesh,2018,3,ysr district,1557444,2235904512.2542043
Andhra pradesh,2018,3,west godavari district,1431282,2309078492.805814
Andhra pradesh,2018,3,kurnool district,2921189,2908389261.539773
Andhra pradesh,2018,3,chittoor district,2297429,3283517630.720593
Andhra pradesh,2018,3,guntur district,1912529,3127764663.180438
Andhra pradesh,2018,3,krishna district,2396934,3754202654.384461
Andhra pradesh,2018,4,east godavari district,3052762,4652624623.436675
Andhra pradesh,2018,4,srikakulam district,1252807,1870278609.504549
Andhra pradesh,2018,4,spsr nellore district,1814997,3293448556.973445
Andhra pradesh,2018,4,vizianagaram district,1386787,1817673252.541776
Andhra pradesh,2018,4,visakhapatnam district,4791421,7366635864.849373
Andhra pradesh,2018,4,prakasam district,1692862,3255254226.03728
Andhra pradesh,2018,4,anantapur district,2286391,3975878156.3298287
Andhra pradesh,2018,4,ysr district,1732527,3252340063.247859
Andhra pradesh,2018,4,west godavari district,1688482,3237504255.4632454
Andhra pradesh,2018,4,kurnool district,2508530,3626544852.4069242
Andhra pradesh,2018,4,chittoor district,3166201,4979093890.223491
Andhra pradesh,2018,4,guntur district,2546620,4730251217.6969595
Andhra pradesh,2018,4,krishna district,2839161,5416251838.130406
Andhra pradesh,2019,1,east godavari district,5440146,7382264724.59952
Andhra pradesh,2019,1,srikakulam district,2526855,3407912878.415258
Andhra pradesh,2019,1,spsr nellore district,3333584,5161932216.216368
Andhra pradesh,2019,1,vizianagaram district,2798241,3364576948.2993007
Andhra pradesh,2019,1,visakhapatnam district,9690866,13459857440.552681
Andhra pradesh,2019,1,prakasam district,2931081,4807527779.215152
Andhra pradesh,2019,1,anantapur district,3891336,6044730653.191345
Andhra pradesh,2019,1,ysr district,2852197,4915811593.896078
Andhra pradesh,2019,1,west godavari district,2829437,4623764455.47309
Andhra pradesh,2019,1,kurnool district,4193432,5541564892.509683
Andhra pradesh,2019,1,chittoor district,6486813,8223371732.233584
Andhra pradesh,2019,1,guntur district,4846553,7765934169.404485
Andhra pradesh,2019,1,krishna district,5443981,9061346433.07268
Andhra pradesh,2019,2,east godavari district,4699261,9116404622.476511
Andhra pradesh,2019,2,srikakulam district,2019203,4066576539.9368386
Andhra pradesh,2019,2,spsr nellore district,3141891,6880873007.482059
Andhra pradesh,2019,2,vizianagaram district,2272320,4443041665.039663
Andhra pradesh,2019,2,visakhapatnam district,11705738,20797479804.02907
Andhra pradesh,2019,2,prakasam district,2670529,6262396448.455349
Andhra pradesh,2019,2,anantapur district,3578836,7830782361.377665
Andhra pradesh,2019,2,ysr district,2606284,6376856828.130631
Andhra pradesh,2019,2,west godavari district,2402074,5676818258.955046
Andhra pradesh,2019,2,kurnool district,3895824,7358285187.018034
Andhra pradesh,2019,2,chittoor district,5983308,10982727976.22432
Andhra pradesh,2019,2,guntur district,5005275,10405246943.48149
Andhra pradesh,2019,2,krishna district,6428472,13437029115.62075
Andhra pradesh,2019,3,east godavari district,6537303,11387726470.57774
Andhra pradesh,2019,3,srikakulam district,2556296,4610131289.524039
Andhra pradesh,2019,3,spsr nellore district,4150195,8256600118.735449
Andhra pradesh,2019,3,vizianagaram district,2861581,4922069039.192161
Andhra pradesh,2019,3,visakhapatnam district,16694947,26944837120.04628
Andhra pradesh,2019,3,prakasam district,3430750,7354502261.15091
Andhra pradesh,2019,3,anantapur district,4889720,9554081289.488277
Andhra pradesh,2019,3,ysr district,3296586,7447544274.211781
Andhra pradesh,2019,3,west godavari district,3179541,6627629029.014131
Andhra pradesh,2019,3,kurnool district,5139134,9025632779.412457
Andhra pradesh,2019,3,chittoor district,8201783,13837455758.755262
Andhra pradesh,2019,3,guntur district,6942304,13075661264.18803
Andhra pradesh,2019,3,krishna district,8408474,16404073560.50078
Andhra pradesh,2019,4,east godavari district,9285739,16816774065.30131
Andhra pradesh,2019,4,srikakulam district,3712555,6832369301.879346
Andhra pradesh,2019,4,spsr nellore district,5877804,11786014089.19402
Andhra pradesh,2019,4,vizianagaram district,3998234,7175851807.068796
Andhra pradesh,2019,4,visakhapatnam district,23594874,39133296330.044624
Andhra pradesh,2019,4,prakasam district,4865473,10604077824.801031
Andhra pradesh,2019,4,anantapur district,6764112,13887248889.06406
Andhra pradesh,2019,4,ysr district,4793157,10865073855.73078
Andhra pradesh,2019,4,west godavari district,4596479,9710614747.20177
Andhra pradesh,2019,4,kurnool district,7001958,13233105728.54823
Andhra pradesh,2019,4,chittoor district,11246986,19298476027.87548
Andhra pradesh,2019,4,guntur district,9761330,18565626418.03591
Andhra pradesh,2019,4,krishna district,11719402,23039786404.046642
Andhra pradesh,2020,1,east godavari district,11346242,21854701379.428677
Andhra pradesh,2020,1,srikakulam district,4835092,9777575594.177538
Andhra pradesh,2020,1,spsr nellore district,7430247,15387829694.446861
Andhra pradesh,2020,1,vizianagaram district,5042066,9879174240.920494
Andhra pradesh,2020,1,visakhapatnam district,27115031,48809747614.67889
Andhra pradesh,2020,1,prakasam district,6318396,14169104764.52673
Andhra pradesh,2020,1,anantapur district,8466129,17864325752.82528
Andhra pradesh,2020,1,ysr district,6031255,14059924636.81991
Andhra pradesh,2020,1,west godavari district,5919670,12995834340.71623
Andhra pradesh,2020,1,kurnool district,8246869,17022710311.81304
Andhra pradesh,2020,1,chittoor district,13257740,23441848567.34419
Andhra pradesh,2020,1,guntur district,11493331,22992734620.64621
Andhra pradesh,2020,1,krishna district,12175289,24481702770.71471
Andhra pradesh,2020,2,east godavari district,13130334,26319906327.32029
Andhra pradesh,2020,2,srikakulam district,6425515,12153650076.87583
Andhra pradesh,2020,2,spsr nellore district,9454274,20665376460.772232
Andhra pradesh,2020,2,vizianagaram district,6690313,12819344389.54538
Andhra pradesh,2020,2,visakhapatnam district,25300401,48293889917.414375
Andhra pradesh,2020,2,prakasam district,8844580,19846026726.90433
Andhra pradesh,2020,2,anantapur district,10473739,22094006659.412502
Andhra pradesh,2020,2,ysr district,8033609,19597207268.13202
Andhra pradesh,2020,2,west godavari district,7273096,16585866855.15978
Andhra pradesh,2020,2,kurnool district,9821381,22419372061.805172
Andhra pradesh,2020,2,chittoor district,14848197,27361300300.01902
Andhra pradesh,2020,2,guntur district,12308707,27463593607.839104
Andhra pradesh,2020,2,krishna district,12313709,26964149095.36629
Andhra pradesh,2020,3,east godavari district,17972431,39300043804.758514
Andhra pradesh,2020,3,srikakulam district,8286289,18029574581.33742
Andhra pradesh,2020,3,spsr nellore district,16468209,39128324534.03022
Andhra pradesh,2020,3,vizianagaram district,8236703,17567816576.50126
Andhra pradesh,2020,3,visakhapatnam district,34421299,67628440368.111465
Andhra pradesh,2020,3,prakasam district,12266310,31221704852.44969
Andhra pradesh,2020,3,anantapur district,14447683,34102037972.657852
Andhra pradesh,2020,3,ysr district,11934653,32037007334.12973
Andhra pradesh,2020,3,west godavari district,10412351,25408608725.75429
Andhra pradesh,2020,3,kurnool district,13243292,32529351107.17173
Andhra pradesh,2020,3,chittoor district,20501863,42811566246.16463
Andhra pradesh,2020,3,guntur district,17601395,42531195809.75448
Andhra pradesh,2020,3,krishna district,19110457,44788458672.084435
Andhra pradesh,2020,4,east godavari district,25989490,58732615663.118416
Andhra pradesh,2020,4,srikakulam district,11092184,25222520275.27882
Andhra pradesh,2020,4,spsr nellore district,20934374,49115443663.37911
Andhra pradesh,2020,4,vizianagaram district,10580824,24094847668.44506
Andhra pradesh,2020,4,visakhapatnam district,46551467,91879823025.40399
Andhra pradesh,2020,4,prakasam district,16176867,41852443493.51539
Andhra pradesh,2020,4,anantapur district,20996384,49732610814.26222
Andhra pradesh,2020,4,ysr district,15676878,42572974713.44026
Andhra pradesh,2020,4,west godavari district,15674762,40310975762.603455
Andhra pradesh,2020,4,kurnool district,18737323,44718203115.22612
Andhra pradesh,2020,4,chittoor district,29590411,61505711149.79541
Andhra pradesh,2020,4,guntur district,26136538,60641872021.254326
Andhra pradesh,2020,4,krishna district,27981050,64461504667.60723
Andhra pradesh,2021,1,east godavari district,26190701,60027984987.969505
Andhra pradesh,2021,1,srikakulam district,11160473,26486623313.092724
Andhra pradesh,2021,1,spsr nellore district,22541428,52210333201.53073
Andhra pradesh,2021,1,vizianagaram district,10514582,24153782497.24324
Andhra pradesh,2021,1,visakhapatnam district,48248923,95308386037.84721
Andhra pradesh,2021,1,prakasam district,15175395,41396223622.17477
Andhra pradesh,2021,1,anantapur district,20102957,48353870395.01808
Andhra pradesh,2021,1,ysr district,15374473,42570919448.50447
Andhra pradesh,2021,1,west godavari district,16015685,42124030669.36126
Andhra pradesh,2021,1,kurnool district,17918524,44941629659.56964
Andhra pradesh,2021,1,chittoor district,29342609,60947491846.66089
Andhra pradesh,2021,1,guntur district,27445045,64207987853.1084
Andhra pradesh,2021,1,krishna district,29717175,69715406644.53485
Andhra pradesh,2021,2,east godavari district,31717908,74604325863.66068
Andhra pradesh,2021,2,srikakulam district,13546232,32298129544.54086
Andhra pradesh,2021,2,spsr nellore district,30290406,72283071757.09679
Andhra pradesh,2021,2,vizianagaram district,12689494,29140685236.830723
Andhra pradesh,2021,2,visakhapatnam district,54390299,114439012713.3533
Andhra pradesh,2021,2,prakasam district,19944047,54535328043.04135
Andhra pradesh,2021,2,anantapur district,25123346,60987487571.27991
Andhra pradesh,2021,2,ysr district,18457361,52523527031.021324
Andhra pradesh,2021,2,west godavari district,20950964,57233116236.187965
Andhra pradesh,2021,2,kurnool district,21972396,56659287474.9958
Andhra pradesh,2021,2,chittoor district,34344902,73654690122.43158
Andhra pradesh,2021,2,guntur district,32968819,82356914463.83287
Andhra pradesh,2021,2,krishna district,36370960,90021923049.96454
Andhra pradesh,2021,3,east godavari district,39572714,89380370072.7078
Andhra pradesh,2021,3,srikakulam district,15639768,34836400769.87681
Andhra pradesh,2021,3,spsr nellore district,34411958,77839676988.30869
Andhra pradesh,2021,3,vizianagaram district,14510005,31383541628.21252
Andhra pradesh,2021,3,visakhapatnam district,69220981,136945652159.2651
Andhra pradesh,2021,3,prakasam district,24116580,63367713446.92805
Andhra pradesh,2021,3,anantapur district,30366444,70291248155.64975
Andhra pradesh,2021,3,ysr district,22439316,60683557724.65233
Andhra pradesh,2021,3,west godavari district,26245039,66647238455.1675
Andhra pradesh,2021,3,kurnool district,26377809,62527453761.598076
Andhra pradesh,2021,3,chittoor district,42628568,89371931753.04831
Andhra pradesh,2021,3,guntur district,41675093,96525353090.12306
Andhra pradesh,2021,3,krishna district,44828275,104417897558.5897
Andhra pradesh,2021,4,east godavari district,48992531,106725597026.00351
Andhra pradesh,2021,4,srikakulam district,18501857,39713657870.15512
Andhra pradesh,2021,4,spsr nellore district,41921081,92256405076.26547
Andhra pradesh,2021,4,vizianagaram district,17253059,36577529464.968704
Andhra pradesh,2021,4,visakhapatnam district,82711538,159530099772.73468
Andhra pradesh,2021,4,prakasam district,27858275,71323060008.47623
Andhra pradesh,2021,4,anantapur district,36129136,81239787006.64764
Andhra pradesh,2021,4,ysr district,26340348,69081850069.2033
Andhra pradesh,2021,4,west godavari district,33235175,81292461575.08183
Andhra pradesh,2021,4,kurnool district,31782248,73968947669.64754
Andhra pradesh,2021,4,chittoor district,51119640,103985734663.7351
Andhra pradesh,2021,4,guntur district,50919286,115553993673.1733
Andhra pradesh,2021,4,krishna district,55489829,125015323207.8983
Andhra pradesh,2022,1,east godavari district,54738830,121067103712.79561
Andhra pradesh,2022,1,srikakulam district,20990782,46898912115.649216
Andhra pradesh,2022,1,spsr nellore district,47645702,104895571602.1398
Andhra pradesh,2022,1,vizianagaram district,19278262,41994853361.58878
Andhra pradesh,2022,1,visakhapatnam district,88233362,170120350591.26
Andhra pradesh,2022,1,prakasam district,31340975,79494373254.71565
Andhra pradesh,2022,1,anantapur district,40613148,90197023268.43825
Andhra pradesh,2022,1,ysr district,29783739,78421693518.90942
Andhra pradesh,2022,1,west godavari district,37271259,92397939903.60939
Andhra pradesh,2022,1,kurnool district,35093633,81568420500.54749
Andhra pradesh,2022,1,chittoor district,58561024,117900595508.634
Andhra pradesh,2022,1,guntur district,57226996,129673727687.0894
Andhra pradesh,2022,1,krishna district,61826199,139690081529.49042
Andhra pradesh,2022,2,east godavari district,62072845,135531452997.63911
Andhra pradesh,2022,2,srikakulam district,23727353,53754764122.43269
Andhra pradesh,2022,2,spsr nellore district,54838708,121941082043.49481
Andhra pradesh,2022,2,vizianagaram district,21766135,47294745020.495636
Andhra pradesh,2022,2,visakhapatnam district,101387402,193242841582.14282
Andhra pradesh,2022,2,prakasam district,36163507,90435082545.97766
Andhra pradesh,2022,2,anantapur district,46099366,102138758015.7691
Andhra pradesh,2022,2,ysr district,33154559,87601310069.59737
Andhra pradesh,2022,2,west godavari district,44409239,107973244960.42819
Andhra pradesh,2022,2,kurnool district,40165692,92409350855.50198
Andhra pradesh,2022,2,chittoor district,67507661,136435445124.75612
Andhra pradesh,2022,2,guntur district,66315749,147098141568.7623
Andhra pradesh,2022,2,krishna district,73525814,163997729295.9313
Andhra pradesh,2022,3,east godavari district,61467134,129677722169.7482
Andhra pradesh,2022,3,srikakulam district,22126541,46899962921.785614
Andhra pradesh,2022,3,spsr nellore district,42116582,95099325968.25972
Andhra pradesh,2022,3,vizianagaram district,20440645,42513313394.84207
Andhra pradesh,2022,3,visakhapatnam district,97434546,181124419863.6144
Andhra pradesh,2022,3,prakasam district,35376080,87475230073.46388
Andhra pradesh,2022,3,anantapur district,45165363,97735649608.10074
Andhra pradesh,2022,3,ysr district,33119038,86016932181.12372
Andhra pradesh,2022,3,west godavari district,43635951,101706854744.31871
Andhra pradesh,2022,3,kurnool district,39557913,88415335176.31995
Andhra pradesh,2022,3,chittoor district,65751781,133053581631.6395
Andhra pradesh,2022,3,guntur district,65612317,141588522953.2377
Andhra pradesh,2022,3,krishna district,71051144,153770559025.69122
Andhra pradesh,2022,4,east godavari district,68016055,136531110139.8625
Andhra pradesh,2022,4,srikakulam district,23693779,47726411107.886284
Andhra pradesh,2022,4,spsr nellore district,42582064,92085916180.6851
Andhra pradesh,2022,4,vizianagaram district,22205190,44467386404.34759
Andhra pradesh,2022,4,visakhapatnam district,103790055,185306149744.73102
Andhra pradesh,2022,4,prakasam district,37211077,88105031866.36835
Andhra pradesh,2022,4,anantapur district,48299601,101533878537.2343
Andhra pradesh,2022,4,ysr district,35201596,87360426792.81667
Andhra pradesh,2022,4,west godavari district,47919930,105335724990.5932
Andhra pradesh,2022,4,kurnool district,43524766,94667441029.08345
Andhra pradesh,2022,4,chittoor district,70322534,136840859888.1815
Andhra pradesh,2022,4,guntur district,70723763,146938735166.5236
Andhra pradesh,2022,4,krishna district,76526667,157826011193.3544
Andhra pradesh,2023,1,east godavari district,115196449,223454724672.0
Andhra pradesh,2023,1,srikakulam district,42209999,86486032409.0
Andhra pradesh,2023,1,spsr nellore district,71318689,143967164643.0
Andhra pradesh,2023,1,vizianagaram district,38838861,76472384525.0
Andhra pradesh,2023,1,visakhapatnam district,164358781,277211090180.0
Andhra pradesh,2023,1,prakasam district,63671149,141672839638.0
Andhra pradesh,2023,1,anantapur district,82127373,162287796625.0
Andhra pradesh,2023,1,ysr district,59768512,140117633668.0
Andhra pradesh,2023,1,west godavari district,79094558,165941144654.0
Andhra pradesh,2023,1,kurnool district,72405172,149100361797.0
Andhra pradesh,2023,1,chittoor district,120192355,218037027225.99997
Andhra pradesh,2023,1,guntur district,114246185,226244225817.0
Andhra pradesh,2023,1,krishna district,122104381,238058890676.0
Andhra pradesh,2023,2,east godavari district,131243375,245134717109.0
Andhra pradesh,2023,2,srikakulam district,47633204,93082175904.0
Andhra pradesh,2023,2,spsr nellore district,82056071,165181391414.0
Andhra pradesh,2023,2,vizianagaram district,43625851,82671020353.0
Andhra pradesh,2023,2,visakhapatnam district,184918179,303874597259.0
Andhra pradesh,2023,2,prakasam district,73598725,158428689659.0
Andhra pradesh,2023,2,anantapur district,91695174,180050369328.0
Andhra pradesh,2023,2,ysr district,66809788,156231915019.0
Andhra pradesh,2023,2,west godavari district,92533269,187699526244.0
Andhra pradesh,2023,2,kurnool district,81475907,166991990104.0
Andhra pradesh,2023,2,chittoor district,136283483,245550525910.00003
Andhra pradesh,2023,2,guntur district,132035450,254140764679.99997
Andhra pradesh,2023,2,krishna district,141748488,267001403932.99997
Andhra pradesh,2023,3,east godavari district,148701666,260414286361.0
Andhra pradesh,2023,3,srikakulam district,51382393,91818203167.0
Andhra pradesh,2023,3,spsr nellore district,93875073,176593750929.0
Andhra pradesh,2023,3,vizianagaram district,47856766,83289704541.0
Andhra pradesh,2023,3,visakhapatnam district,209884966,328927220951.0
Andhra pradesh,2023,3,prakasam district,84447202,171207298619.0
Andhra pradesh,2023,3,anantapur district,104539628,192477441164.0
Andhra pradesh,2023,3,ysr district,76091693,168218516193.0
Andhra pradesh,2023,3,west godavari district,102962058,191891823401.0
Andhra pradesh,2023,3,kurnool district,92890445,172979053544.99997
Andhra pradesh,2023,3,chittoor district,152863845,265404757144.0
Andhra pradesh,2023,3,guntur district,150246761,270651818043.99997
Andhra pradesh,2023,3,krishna district,159421907,279540224039.0
Andhra pradesh,2023,4,east godavari district,162793144,282329255747.0
Andhra pradesh,2023,4,srikakulam district,56291337,97021746702.0
Andhra pradesh,2023,4,spsr nellore district,97721962,179306028468.0
Andhra pradesh,2023,4,vizianagaram district,53248760,90289502507.0
Andhra pradesh,2023,4,visakhapatnam district,223584765,344512874812.0
Andhra pradesh,2023,4,prakasam district,89721677,174929737360.0
Andhra pradesh,2023,4,anantapur district,113698752,203367177888.0
Andhra pradesh,2023,4,ysr district,83729195,176644897379.0
Andhra pradesh,2023,4,west godavari district,114825704,209237892746.0
Andhra pradesh,2023,4,kurnool district,103816175,190597527675.0
Andhra pradesh,2023,4,chittoor district,163521593,274132458091.99997
Andhra pradesh,2023,4,guntur district,160724947,281806839570.0
Andhra pradesh,2023,4,krishna district,173309415,298339038877.0
Arunachal pradesh,2018,1,lower dibang valley district,1356,1076236.814073793
Arunachal pradesh,2018,1,lower subansiri district,1477,3650727.893614269
Arunachal pradesh,2018,1,longding district,2321,4361531.578447229
Arunachal pradesh,2018,1,west siang district,1887,4796675.565399804
Arunachal pradesh,2018,1,kamle district,14,7971.330494807651
Arunachal pradesh,2018,1,upper siang district,126,186610.66988095018
Arunachal pradesh,2018,1,tirap district,945,1064265.0002443574
Arunachal pradesh,2018,1,papum pare district,14224,32555848.46233147
Arunachal pradesh,2018,1,kurung kumey district,84,99416.58027150274
Arunachal pradesh,2018,1,siang district,252,339471.80434222345
Arunachal pradesh,2018,1,lower siang district,1292,2337960.7148240386
Arunachal pradesh,2018,1,kra daadi district,207,495375.1454853307
Arunachal pradesh,2018,1,changlang district,3195,5380749.415278763
Arunachal pradesh,2018,1,pakke kessang district,9,9131.404205737199
Arunachal pradesh,2018,1,dibang valley district,2,169.88856537681642
Arunachal pradesh,2018,1,west kameng district,5787,9540632.547015157
Arunachal pradesh,2018,1,east siang district,3286,5533620.186295529
Arunachal pradesh,2018,1,upper subansiri district,735,1358367.5018580484
Arunachal pradesh,2018,1,east kameng district,529,473824.76595106337
Arunachal pradesh,2018,1,lohit district,3747,11496949.54576835
Arunachal pradesh,2018,1,lepa rada district,288,403149.46702687367
Arunachal pradesh,2018,1,tawang district,2334,5055665.022950603
Arunachal pradesh,2018,1,namsai district,1400,2162984.705083958
Arunachal pradesh,2018,2,lower dibang valley district,1827,2561237.506207262
Arunachal pradesh,2018,2,lower subansiri district,1666,4113742.04406352
Arunachal pradesh,2018,2,longding district,4634,10271170.16552131
Arunachal pradesh,2018,2,west siang district,2579,7610989.567485569
Arunachal pradesh,2018,2,kamle district,12,23654.058373191845
Arunachal pradesh,2018,2,upper siang district,240,494895.09277159756
Arunachal pradesh,2018,2,tirap district,1903,3126393.7649546335
Arunachal pradesh,2018,2,papum pare district,25363,66520931.20355792
Arunachal pradesh,2018,2,kurung kumey district,83,123737.2220411206
Arunachal pradesh,2018,2,anjaw district,7,7871.020814692305
Arunachal pradesh,2018,2,siang district,336,740232.6309634304
Arunachal pradesh,2018,2,lower siang district,2292,2179451.657976534
Arunachal pradesh,2018,2,kra daadi district,247,987135.9959717204
Arunachal pradesh,2018,2,changlang district,6066,13294258.50337311
Arunachal pradesh,2018,2,pakke kessang district,48,58359.57138935899
Arunachal pradesh,2018,2,dibang valley district,68,65769.2036735354
Arunachal pradesh,2018,2,west kameng district,10466,25521321.34140157
Arunachal pradesh,2018,2,east siang district,6363,15285584.202916931
Arunachal pradesh,2018,2,upper subansiri district,1285,2911910.3689207276
Arunachal pradesh,2018,2,east kameng district,522,1825297.4617279815
